symptom,mean influence,times reported,mean influence (%)
lymphedema,0.5759420813571889,6,57.6
lack of growth,0.5312877993602514,8,53.1
lower body pain,0.5235342179597264,5,52.4
constipation,0.5126151273526695,6,51.3
lip swelling,0.4125589336429066,11,41.3
feeling ill,0.4114178290134742,7,41.1
irregular appearing nails,0.3882149536023247,5,38.8
joint pain,0.36993747196539173,8,37.0
allergic reaction,0.36793850534386663,8,36.8
difficulty in swallowing,0.3501681390903294,16,35.0
symptoms of bladder,0.3483937978755398,6,34.8
vaginal pain,0.33065371008598843,5,33.1
blood in stool,0.31791427516583737,8,31.8
white discharge from eye,0.3147707959454443,5,31.5
fluid retention,0.30603363834832953,7,30.6
disturbance of memory,0.3020475736824481,7,30.2
vaginal discharge,0.30155369267083637,10,30.2
symptoms of the scrotum and testes,0.30011366064368106,5,30.0
rectal bleeding,0.28951365121117145,5,29.0
vaginal itching,0.28629438375061556,5,28.6
