disease,precision,recall,f1-score,support
abdominal aortic aneurysm,0.9333333333333333,1.0,0.9655172413793104,28
abdominal hernia,0.9642857142857143,1.0,0.9818181818181818,81
abscess of nose,0.746268656716418,0.8620689655172413,0.8,58
abscess of the lung,0.8,1.0,0.8888888888888888,4
abscess of the pharynx,0.8840579710144928,0.8970588235294118,0.8905109489051095,68
acanthosis nigricans,0.75,1.0,0.8571428571428571,6
acariasis,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
achalasia,0.6818181818181818,0.8823529411764706,0.7692307692307693,17
acne,0.6666666666666666,0.8888888888888888,0.7619047619047619,99
actinic keratosis,0.9448275862068966,0.7527472527472527,0.8379204892966361,182
acute bronchiolitis,0.9907834101382489,0.8921161825726142,0.9388646288209607,241
acute bronchitis,0.8295964125560538,0.7613168724279835,0.7939914163090128,243
acute bronchospasm,0.7425149700598802,0.6850828729281768,0.7126436781609196,181
acute fatty liver of pregnancy (aflp),0.6666666666666666,1.0,0.8,2
acute glaucoma,0.6,0.2857142857142857,0.3870967741935484,42
acute kidney injury,0.9776536312849162,0.9615384615384616,0.9695290858725761,182
acute otitis media,0.710691823899371,0.8248175182481752,0.7635135135135135,137
acute pancreatitis,0.9903846153846154,0.8547717842323651,0.9175946547884187,241
acute respiratory distress syndrome (ards),0.8404255319148937,0.8777777777777778,0.8586956521739131,90
acute sinusitis,0.8729281767955801,0.8729281767955801,0.8729281767955801,181
acute stress reaction,0.9567901234567902,0.8516483516483516,0.9011627906976745,182
adhesive capsulitis of the shoulder,1.0,0.8666666666666667,0.9285714285714286,15
adjustment reaction,0.6884057971014492,0.9405940594059405,0.7949790794979079,101
adrenal adenoma,0.875,1.0,0.9333333333333333,7
adrenal cancer,0.0,0.0,0.0,1
alcohol abuse,0.8878504672897196,0.9313725490196079,0.9090909090909091,102
alcohol intoxication,0.9459459459459459,1.0,0.9722222222222222,70
alcohol withdrawal,0.9538461538461539,0.9323308270676691,0.9429657794676806,133
alcoholic liver disease,0.96,0.9795918367346939,0.9696969696969697,49
allergy,0.9617486338797814,0.9723756906077348,0.967032967032967,181
allergy to animals,1.0,0.875,0.9333333333333333,8
alopecia,0.7252747252747253,0.9705882352941176,0.8301886792452831,68
alzheimer disease,0.9836065573770492,0.8955223880597015,0.9375,67
amblyopia,1.0,0.8888888888888888,0.9411764705882353,9
amyloidosis,1.0,1.0,1.0,1
amyotrophic lateral sclerosis (als),1.0,1.0,1.0,12
anal fissure,0.9069767441860465,0.8666666666666667,0.8863636363636364,45
